text,label
"Click here to earn free money",spam
"Buy cheap crypto now limited offer",spam
"Visit my website for huge discounts",spam
"Free bitcoin giveaway click now",spam
"Earn money fast online today",spam
"Limited time investment opportunity",spam
"Join my telegram channel for profit",spam
"Message me for guaranteed returns",spam
"Cheap products available now",spam
"Exclusive offer act now",spam
"Win big prizes instantly",spam
"Double your money in one week",spam
"This platform is useless lol",spam
"You all are scammers",spam
"This charity is fake haha",spam
"Admin is stupid and corrupt",spam
"Worst site ever created",spam
"Why is this site so dumb",spam
"Complete nonsense platform",spam
"Total waste of time lol",spam
"asdfghjkl random text",spam
"123456789 random numbers",spam
"Blah blah blah nothing here",spam
"Testing testing spam message",spam
"Fake complaint just trying",spam
"This is fraud website shut it down",spam
"I hate everyone here",spam
"Go to my page for better offers",spam
"Earn passive income easily",spam
"Best investment plan click link",spam
"Crypto airdrop free tokens",spam
"DM me for special deals",spam
"Limited stock buy immediately",spam
"Cheap loans available now",spam
"Guaranteed 500 percent profit",spam
"Admin you are all fake",spam
"Scam scam scam platform",spam
"Unrelated political message here",spam
"Promoting my YouTube channel subscribe",spam
"Sell your products here fast",spam
"My donation was deducted but not reflected",not_spam
"I did not receive confirmation email",not_spam
"Food distribution was delayed by two days",not_spam
"The medicines delivered were expired",not_spam
"The organization has not responded yet",not_spam
"My request has been pending for weeks",not_spam
"I received damaged supplies",not_spam
"The support team is not replying properly",not_spam
"Funds status is not updated in dashboard",not_spam
"I submitted complaint but no action taken",not_spam
"The shelter assistance was delayed",not_spam
"Need clarification about donation usage",not_spam
"The account details are incorrect",not_spam
"Delivery schedule was not followed properly",not_spam
"The items received were different from request",not_spam
"I have not received any update",not_spam
"There is an issue with beneficiary verification",not_spam
"Complaint regarding expired food packets",not_spam
"Water supply was insufficient",not_spam
"The volunteer did not arrive on time",not_spam
"Request status shows completed but not delivered",not_spam
"I need help resolving payment issue",not_spam
"Organization did not respond to email",not_spam
"Incorrect donation receipt generated",not_spam
"The relief materials were incomplete",not_spam
"I faced issue during registration",not_spam
"Unable to upload required documents",not_spam
"Delivery was partially completed",not_spam
"Need urgent clarification about aid approval",not_spam
"The helpline number is not working",not_spam
"Complaint about miscommunication from team",not_spam
"Donation history not visible in account",not_spam
"Supplies quality was poor",not_spam
"Medical assistance request not processed",not_spam
"The website crashed during submission",not_spam
"I am unable to track my request",not_spam
"Funds allocation details are unclear",not_spam
"The promised items were not delivered",not_spam
"There was delay in emergency response",not_spam
"Need support regarding shelter allocation",not_spam
