text,urgency
Fire accident in shelter building,high
Child needs emergency heart surgery,high
Flood relief required immediately,high
Medical emergency in orphanage ward,high
Severe food shortage for tonight,high
Urgent blood requirement for patient,high
Earthquake damaged our hostel,high
Emergency evacuation needed due to gas leak,high
Infants require immediate medical supplies,high
Fire broke out in kitchen area,high
Surgery funds required urgently,high
Critical patient needs oxygen cylinders,high
Disaster relief materials required now,high
Ambulance required immediately,high
Emergency shelter needed after storm,high
Water contamination affecting children,high
Immediate funds needed for life-saving treatment,high
High fever spreading among children urgently,high
Roof collapsed after heavy rain,high
Immediate rescue support required,high
Need food supplies for next week,medium
Shortage of blankets before winter,medium
Water leakage in hostel building,medium
Electricity repair required in dormitory,medium
Need medicines restocked soon,medium
Repair broken beds in shelter,medium
Moderate shortage of cooking gas,medium
School supplies required this month,medium
Need additional volunteers this week,medium
Bathroom plumbing issue in hostel,medium
Repair damaged classroom windows,medium
Need hygiene kits for residents,medium
Replace damaged ceiling fans,medium
Need additional water tanks installed,medium
Moderate shortage of milk supplies,medium
Storage room roof leaking slowly,medium
Need cleaning staff for upcoming event,medium
Repair broken fence around campus,medium
Need replacement mattresses soon,medium
Refill first aid kits in building,medium
Request for new chairs in classroom,low
Need whiteboard markers,low
Website update required,low
General cleaning supplies needed,low
Request for office stationery,low
Inquiry about donation receipt process,low
Need printing paper for office,low
Replace decorative lights in hall,low
Upgrade computer systems gradually,low
Request for new notice board,low
Need additional cupboards for storage,low
General maintenance check required,low
Request for new curtains,low
Plan for annual event arrangements,low
Need garden tools for maintenance,low
Request for new library books,low
Need paint for corridor walls,low
Replace old notice boards,low
Request for meeting hall microphone,low
Need storage boxes for files,low
Update organization brochure design,low
Purchase extra extension cords,low
Need name tags for volunteers,low
Organize monthly cultural program,low
Install suggestion box near entrance,low
